Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
187,,V-8,21,-107.0667,-3300,,,,211,,0.79,,,167,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
188,,V-9,20.9167,-106.4167,-4450,,,,107,,0.84,,,90,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
189,,V-10,20.1667,-107.7167,-3290,,,,71,,0.74,,,52,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
190,,V-11,19.75,-108.4667,-2600,,,,79,,0.76,,,60,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
191,,V-12,20.8,-109.5667,-2910,,,,132,,0.76,,,100,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
192,,V-13,22.55,-109.4833,-2860,,,,296,,0.87,,,257,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
197,,EV 3/81,43.1333,28.7167,-110,,,2,,,,,,-40,,,25,25,,
200,,A2 1472G,43.1333,38.85,-1539,,,5,,7,,,,26,,,33,25,,
234,,Tina-1,-5.4306,106.1958,,,1319,,,,,,,,,1986,ASCOPE1986,ASCOPE1986,*,BHT
246,,EV 33/81,42.9833,28.4333,-90,,,2,,,,,,-27,,,25,25,,
276,,PSH 553,42.8417,28.565,-628,,,2,,,,,,27,,,135,133,,
355,,EV 41,42.3333,28.1,-60,,,2,,,,,,-10,,,25,25,,
405,,C-36-5,16.75,-57.6333,-5853,,,,12,,0.96,,,11,1,1964,Birch1964,Anderson&Hobart1976,,Ewing probe
406,,C-36-6,16.7833,-57.8167,-5853,,,,15,,0.84,,,13,1,1964,Birch1964,Birch1964,,Ewing probe
407,,CH36-7,16.5667,-57.8667,-4330,,,,54,,0.82,,,45,1,1964,Birch1964,Birch1964,,Ewing probe
408,,CH36-8,16.5833,-57.9,-4330,,,,54,,0.81,,,43,1,1964,Birch1964,Birch1964,,Ewing probe
409,,C-36-9,16.95,-58.4,-5890,,,,22,,0.84,,,20,1,1964,Birch1964,Birch1964,,Ewing probe
410,,CH36-10,16.3,-58.6167,-5599,,,,60,,0.78,,,47,1,1964,Birch1964,Birch1964,,Ewing probe
411,,LSDA-55,-33.75,15,-4170,,2,2,77,,1.03,,,79,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
412,,LSDA-56,-33.25,11.9833,-4630,,2,2,43,,0.99,,,42,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
413,,LSDA-57,-32.5,9.0167,-5040,,1,1,40,,0.84,,,34,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
414,,LSDA-58B,-32,6.1,-5210,,1,1,55,,0.84,,,46,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
415,,LSDA-59,-31.6167,2.7833,-4215,,2,2,4,,0.91,,,4,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
416,,LSDA-60,-31.35,1.9667,-4190,,2,2,100,,0.91,,,91,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
417,,LSDA-61,-30.8667,-0.9333,-3810,,2,2,41,,0.91,,,38,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
418,,LSDA-63,-30.2667,-4.35,-4890,,2,2,46,,0.9,,,42,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
419,,LSDA-64,-30.1,-5.75,-4340,,2,2,34,,0.92,,,31,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
420,,LSDA-65,-29.7167,-7.2667,-4150,,2,2,22,,0.93,,,20,1,1964,Vacquier&VonHerzen1964,Vacquier&VonHerzen1964,,Bullard probe
